Rank,Country/Region,Median age,Fertility rate,Life expectancy,Continent
,,Years (2020),2015-20,2015-20,
1,Japan,48.358,1.37,84.43,Asia
2,Italy,47.288,1.33,83.28,Europe
3,Martinique,47.032,1.88,82.27,North America
4,Portugal,46.158,1.29,81.75,Europe
5,Germany,45.744,1.59,81.1,Europe
6,Greece,45.55,1.3,81.98,Europe
7,Lithuania,45.051,1.67,75.65,Europe
8,Spain,44.858,1.33,83.36,Europe
9,"China, Hong Kong SAR",44.79,1.33,84.63,Asia
10,Bulgaria,44.596,1.56,74.85,Europe
11,Slovenia,44.539,1.6,81.08,Europe
12,Puerto Rico,44.467,1.22,79.85,North America
13,Croatia,44.291,1.45,78.25,Europe
14,Latvia,43.941,1.72,75.05,Europe
15,Republic of Korea,43.734,1.11,82.77,Asia
16,Guadeloupe,43.698,2.17,81.84,North America
17,Austria,43.483,1.53,81.35,Europe
18,Hungary,43.336,1.49,76.63,Europe
19,Netherlands,43.314,1.66,82.06,Europe
20,Czechia,43.203,1.64,79.15,Europe
21,Romania,43.171,1.62,75.83,Europe
22,Finland,43.128,1.53,81.64,Europe
23,Bosnia and Herzegovina,43.108,1.27,77.18,Europe
24,Switzerland,43.053,1.54,83.56,Europe
25,Malta,42.596,1.45,82.29,Europe
26,United States Virgin Islands,42.583,2.05,80.32,North America
27,Channel Islands,42.552,1.5,82.84,Europe
28,"China, Taiwan Province of China",42.455,1.15,80.19,Asia
29,Estonia,42.424,1.59,78.46,Europe
30,France,42.338,1.85,82.46,Europe
31,Denmark,42.298,1.76,80.68,Europe
32,Singapore,42.226,1.21,83.39,Asia
33,Cuba,42.211,1.62,78.69,North America
34,Belgium,41.928,1.71,81.39,Europe
35,Poland,41.678,1.42,78.46,Europe
36,Serbia,41.575,1.46,75.77,Europe
37,Curaçao,41.561,1.76,78.63,North America
38,Slovakia,41.249,1.5,77.31,Europe
39,Ukraine,41.178,1.44,71.82,Europe
40,Canada,41.124,1.53,82.22,North America
41,Sweden,41.078,1.85,82.57,Europe
42,Aruba,41.034,1.9,76.08,North America
43,Barbados,40.493,1.62,79.02,North America
44,United Kingdom,40.467,1.75,81.15,Europe
45,Belarus,40.335,1.71,74.49,Europe
46,Thailand,40.102,1.53,76.83,Asia
47,Norway,39.836,1.68,82.18,Europe
48,Luxembourg,39.729,1.45,82,Europe
49,Russian Federation,39.586,1.82,72.29,Europe
50,"China, Macao SAR",39.267,1.2,84.04,Asia
51,North Macedonia,39.138,1.5,75.6,Europe
52,Montenegro,38.8,1.75,76.65,Europe
53,China,38.422,1.69,76.62,Asia
54,United States of America,38.308,1.78,78.81,North America
55,Georgia,38.268,2.06,73.52,Asia
56,Ireland,38.246,1.84,82.05,Europe
57,New Zealand,37.973,1.9,82.06,Oceania
58,Australia,37.875,1.83,83.2,Oceania
59,Republic of Moldova,37.597,1.26,71.68,Europe
60,Iceland,37.491,1.77,82.77,Europe
61,Mauritius,37.457,1.39,74.76,Africa
62,Cyprus,37.25,1.34,80.75,Asia
63,Kuwait,36.781,2.1,75.33,Asia
64,Albania,36.399,1.62,78.38,Europe
65,Trinidad and Tobago,36.176,1.73,73.31,North America
66,Réunion,35.895,2.27,80.03,Africa
67,Uruguay,35.76,1.98,77.7,South America
68,Armenia,35.374,1.76,74.87,Asia
69,Chile,35.339,1.65,79.96,South America
70,Dem. People's Republic of Korea,35.338,1.91,71.96,Asia
