"Params","coefs","2.5 %","97.5 %"
"ar.1","0.297","0.083","1.062"
"ar.log(pop)","0.959","0.908","1.012"
"ar.HDI_cat","4.146","0.816","21.061"
"ar.sindex_lag","1.007","0.966","1.05"
"ar.testing_lag","1.002","0.908","1.105"
"ar.vax_lag","0.996","0.992","1"
"ne.1","355.718","0","58687363979.087"
"ne.log(pop)","3.027","1.738","5.273"
"ne.HDI_cat","0","0","18169682.115"
"ne.sindex_lag","1.16","0.696","1.935"
"ne.testing_lag","0.551","0.148","2.045"
"ne.vax_lag","1.041","1","1.085"
"end.1","0.001","0","Inf"
"neweights.d","5.171","-24.868","35.209"
"overdisp","0.587","0.543","0.632"
"","","",""
"AIC","23363.21","",""
"","","",""
"logs","rps","dss","ses"
"8.959","2610.439","15.918","35403400.522"
